name,artist,album,release,minutes,seconds,link
Something Always Happens,jüle.,Something Always Happens,2025-10-24,1,39,https://open.spotify.com/track/6C8AmxGeWJ8WZIic957nBW
Dance With Me,Alex Blue,Dance With Me,2023-12-19,3,2,https://open.spotify.com/track/1rH3dyzVZXWzaeQtCdMFWQ
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit],2017-09-07,3,59,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
West Side Story,Roy Edwin Williams,West Side Story,2021-11-19,2,53,https://open.spotify.com/track/3mopgj1oo8wUuXgn60GqDC
Bad Girls Like You,Tobii,Bad Girls Like You,2024-08-29,3,6,https://open.spotify.com/track/23EDUpNbiKcDwhUf9kBRo8
With Arms Wide Open - New Version With Strings,Creed,Human Clay,1999-01-01,3,55,https://open.spotify.com/track/0s8OMEGJQJIUr9VFwNEH1v
Desi Girl,W.i.S.H.,Desi Girl,2025-10-10,3,10,https://open.spotify.com/track/2rI4IZMBLtY0wieRKCuNgA
Disappearance,Leonid Antonov,Disappearance,2024-11-08,2,39,https://open.spotify.com/track/0iq0Bxdc7HtX4aZGlcqKof
I Think God Can Explain - Radio Version,Splender,Songs From Dawson's Creek - Vol. II,2000-03-20,3,54,https://open.spotify.com/track/2QXOVdwDiXtBrZSAyqoYVE
I Thought About You - Remastered 1998,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),1956-03,2,30,https://open.spotify.com/track/3EvdZDyOBgEb5vuKpVNSg6
"Same Script, Different Cast - Jonathan Peters Goes There Dub",Whitney Houston,"Dance Vault Mixes - Same Script, Different Cast",2006-07-04,11,8,https://open.spotify.com/track/2y9fK1Aqir9jKtttRUcEsB
Don’t Call Me Baby,TMTBellC,Don’t Call Me Baby,2024-10-14,2,54,https://open.spotify.com/track/2PolSVV727vVWWaehvxTLW
Some Things Never Change,Flaco Paco,Some Things Never Change,2024-08-09,2,3,https://open.spotify.com/track/5vFtUYgrmccIAeFqcDbYiT
Chain of Love,Keys RNSNC,Chain of Love,2025-09-07,1,23,https://open.spotify.com/track/53GvJHMngsCF1oDdtgyJL6
GOT_IT_ALL,alan vuong,STORY OF ARCHIVES,2024-08-24,3,4,https://open.spotify.com/track/5ULBHrYz3Thdz9BiPoT6hI
Wiggle (feat. Snoop Dogg),Jason Derulo,Tattoos (Deluxe Edition),2013-09-16,3,13,https://open.spotify.com/track/4B4zDmbHdkXZ1wUJv1yKFy
Shake Ya Ass (feat. Pharrell Williams),Mystikal,Let's Get Ready,2000-09-26,4,16,https://open.spotify.com/track/1jRzdY7oUBOhrylNtiMtBD
Papi (Bhabi),Eden Shalev,Papi (Bhabi),2022-12-02,5,46,https://open.spotify.com/track/2jxJzUWxqX2fnQTD9lmi2x
Imagination,Soothing Oasis,Dreaming,2024-10-22,2,6,https://open.spotify.com/track/1w55LIIXhbkX91TYEw6mjd
THIS YEAR (Blessings),Victor Thompson,THIS YEAR (Blessings),2023-01-04,2,6,https://open.spotify.com/track/2VGGQdroduj4dIMGPsBzDG
